name,address,City,State,,lat,lon
FIGHT&#039;s Critical Path Project, 1233 Locust Street 3rd Floor ,Philadelphia,PA,19107,39.9479,-75.162
Women Against Abuse, Location Confidential ,Philadelphia,PA,,39.9523,-75.1638
Mantua Haverford Community Center, 631 N. 39th St. ,Philadelphia,PA,19104,39.9641,-75.1997
Amparo de la Ninez/Children&#039;s Safe Harbor, 107-109 E. Luray St. ,Philadelphia,PA,19120,40.0209,-75.1239
Enterprise Center, 4548 Market St. ,Philadelphia,PA,19139,39.9583,-75.2123
Gloria&#039;s Place/People&#039;s Emergency Center, 3902 Spring Garden St. ,Philadelphia,PA,19104,39.9618,-75.2006
Dorado Village Pennrose, 2642 N. Marshall St ,Philadelphia,PA,19133,39.992,-75.1431
Northwest Regional Center, 1300 W. Godfrey ,Philadelphia,PA,19141,40.0467,-75.1402
Community College of Philadelphia Center for Business and Industry, 1751 Callowhill Street ,Philadelphia,PA,19123,39.9604,-75.168
Institute for Community Justice, 21 S 12th St 7th Fl ,Philadelphia,PA,19107,39.9509,-75.1575
Youth Health Empowerment Program (Y-HEP), 112 N Broad St 9th Fl ,Philadelphia,PA,19102,39.9549,-75.164
Philadelphia FIGHT, 1233 Locust St 3rd FL ,Philadelphia,PA,19107,39.9509,-75.1575
NCCF, 714 Market St. ,Philadelphia,PA,19106,39.9507,-75.1528
ODAAT, 2532 N Broad Street ,Philadelphia,PA,19132,39.9922,-75.1555
Logan CDC, 4542 N. 11th St. ,Philadelphia,PA,19140,40.022,-75.1432
Casa Monarca, 1448 S. 17th St. ,Philadelphia,PA,19146,39.9324,-75.173
The Unified Taxi Workers Alliance of Pennsylvania &amp; Media Mobilizing Project, 4233 Chestnut St. ,Philadelphia,PA,19104,39.9568,-75.2079
SEIU Healthcare PA, 1706 Race St. 3rd Floor ,Philadelphia,PA,19103,39.9568,-75.1679
The Philadelphia Student Union, 4205 Chestnut St. 2nd Floor ,Philadelphia,PA,19104,39.9564,-75.2068
Happy Hollow Recreation Center, 4740 Wayne Avenue ,Philadelphia,PA,19144,40.0241,-75.1652
Families First/People&#039;s Emergency Center, 3939 Warren Street ,Philadelphia,PA,19104,39.962,-75.2015
Community College of Philadephia Northwest Regional Center, 1300 West Godfrey Avenue ,Philadelphia,PA,19141,40.0467,-75.1402
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
